,TF,target,importance
950,TFDP1,ZNF518B,2.389160369377784
339,GATA6,ZBTB20,2.3887988000054103
1043,ISL2,ZNF215,2.38838141743867
514,ELK1,ZEB1,2.3882228960483682
774,GMEB1,ETV5,2.3881638312610343
886,ZNF597,ZNF658,2.387802485900111
947,ZNF431,ZNF408,2.3867579554871035
965,ZNF704,BNC2,2.3866234967181628
802,TERF2,TP53,2.386521959022589
1122,NR5A2,TFAP2E,2.3861506212658408
336,CREBL2,RUNX1,2.3859630569809482
1072,KLF8,ZNF485,2.3851747029786936
1114,TFAP2C,ZNF341,2.3850773855581817
1149,TBX2,TUB,2.3848891960990555
256,HOXC4,ZNF667,2.3844759578144368
834,ZNF623,ZNF865,2.383826604371766
631,XPA,ZNF772,2.3834749812199925
274,ZNF669,ETV2,2.3831293550958677
804,LMX1B,ZNF467,2.383022165149012
944,SP2,TP73,2.3823411469874793
933,ZNF664,GRHL1,2.382123740726242
500,ZNF20,GABPB2,2.381865384000308
195,MYNN,ZNF589,2.3814850054481203
502,ZNF628,ZHX1,2.3810394071229037
774,ZFP69B,VAX1,2.379968200598272
66,JUND,ZNF385A,2.379937016366638
406,MXD4,ZNF319,2.379348978203872
646,ZNF582,ZNF567,2.3790438520719253
1065,CLOCK,TFEB,2.378714623744935
368,ZFP28,ZNF182,2.3781171252280378
658,ZNF518A,ZNF653,2.37696198616664
1138,MYT1,HOXA3,2.3764821552665545
1092,HOXA10,HOXC9,2.375838036346472
574,ZNF774,ZNF449,2.375551587823508
1156,ZNF618,ZNF70,2.3753204146728444
876,SOX6,ZBTB11,2.3744369923316953
60,THAP2,WDHD1,2.374395353474037
861,YY2,FOXG1,2.3730301400190283
544,THAP6,ATF6,2.3723624808309673
369,ZFP28,YY2,2.371755122955425
471,SMAD6,PHTF1,2.3710341278885037
689,ZNF34,ZNF395,2.370604527895197
570,HOXA6,ZNF620,2.3704994841187657
500,ZNF20,ZNF101,2.3702515972758844
1107,RORB,TSHZ3,2.3701288855804257
544,THAP6,ZNF860,2.3699923481954923
496,ARID3B,CENPA,2.3697941610388487
155,ZNF555,ATOH1,2.3696126772811725
995,EN2,MTF1,2.3691287233442337
298,ZNF43,THAP3,2.3690909215439198
935,ELMSAN1,ZNF200,2.3690669892750527
77,NFE2L3,ZNF565,2.368969408619533
779,ZNF620,HOXC12,2.3683732026030704
46,ESRRA,ZXDA,2.3682560633854157
702,ZNF333,ZSCAN5A,2.367633590563516
903,IKZF2,ZNF814,2.36683389319904
378,CSRNP1,POU5F1B,2.366146267530765
892,ARID5B,ZKSCAN8,2.3658108231621453
716,ZNF574,ZNF697,2.365649260445528
75,ELF5,ZNF511,2.365499461927126
270,GLI2,ZNF607,2.365223586166994
813,ZNF599,BHLHE40,2.365209187170383
1009,ZNF331,ZNF266,2.3648472154226
523,SETDB1,ZNF429,2.3646929854063905
876,SOX6,ZNF562,2.3644046733624675
875,ZNF215,PRDM8,2.3642755877519024
618,ZNF155,SOX13,2.3640422386172646
834,ZNF527,ZNF512,2.3637968227926844
563,MSX2,EPAS1,2.3632830537787393
386,SOX11,ZNF317,2.3626855456807236
514,GZF1,ZFP28,2.3623728964017587
